Distance,Speed,Brake,Throttle,Lat,Lon
1960.9,304.8,0.517,0.000,45.630074,9.289084
1989.8,286.1,0.691,0.000,45.630093,9.289455
2018.8,263.2,0.825,0.000,45.630109,9.289827
2047.8,236.6,0.863,0.000,45.630122,9.290199
2076.8,209.8,0.808,0.000,45.630134,9.290572
2105.7,190.6,0.648,0.000,45.630147,9.290944
2134.7,179.7,0.450,0.152,45.630163,9.291315
2161.5,178.4,0.250,0.352,45.630358,9.291519
2188.9,186.7,0.102,0.552,45.630566,9.291707
2217.8,203.6,0.013,0.752,45.630613,9.292074
2246.8,228.4,0.000,0.952,45.630667,9.292438
2275.8,251.8,0.000,0.947,45.630742,9.292795
2304.7,268.2,0.019,0.747,45.630824,9.293148
2333.7,275.9,0.112,0.547,45.630906,9.293502
2362.7,274.0,0.263,0.347,45.630988,9.293855
2391.6,262.4,0.452,0.147,45.631070,9.294209
2420.6,242.8,0.617,0.000,45.631150,9.294564
2449.6,217.5,0.712,0.000,45.631231,9.294918
2478.5,195.8,0.658,0.000,45.631311,9.295272
2507.4,181.6,0.507,0.129,45.631362,9.295636
2536.1,177.1,0.318,0.329,45.631309,9.295998
2564.9,182.3,0.153,0.529,45.631163,9.296304
2593.7,197.3,0.040,0.729,45.630947,9.296508
2622.5,217.8,0.000,0.915,45.630694,9.296585
2651.5,236.9,0.000,0.909,45.630434,9.296620
2680.5,249.9,0.030,0.709,45.630175,9.296654
2709.4,254.2,0.100,0.509,45.629915,9.296688
2738.4,251.0,0.207,0.309,45.629656,9.296723
2767.4,242.6,0.314,0.122,45.629397,9.296757
2796.4,229.2,0.365,0.000,45.629137,9.296791
2825.3,215.8,0.335,0.118,45.628878,9.296826
2854.3,209.9,0.265,0.312,45.628618,9.296855
2882.3,213.7,0.158,0.512,45.628383,9.296726
2911.2,227.6,0.051,0.712,45.628246,9.296410
2940.2,248.2,0.000,0.912,45.628119,9.296084
2969.2,269.3,0.000,0.994,45.627992,9.295759
2998.1,289.9,0.000,0.984,45.627865,9.295434
3027.1,308.0,0.000,0.922,45.627738,9.295108
3056.1,320.6,0.000,0.815,45.627611,9.294783
3085.0,327.1,0.035,0.615,45.627484,9.294457
3114.0,327.5,0.075,0.415,45.627358,9.294132
3143.0,323.6,0.110,0.232,45.627231,9.293806
3172.0,319.1,0.136,0.093,45.627104,9.293481
3200.9,315.2,0.149,0.000,45.626977,9.293156
3229.9,312.5,0.113,0.096,45.626849,9.292831
3258.9,311.3,0.073,0.204,45.626708,9.292518
3287.8,312.1,0.038,0.321,45.626559,9.292213
3316.8,314.5,0.012,0.444,45.626400,9.291918
3345.8,318.1,0.000,0.566,45.626230,9.291634
3374.7,322.5,0.000,0.588,45.626058,9.291355
3403.7,326.8,0.000,0.592,45.625887,9.291075
3432.7,330.6,0.000,0.580,45.625715,9.290794
3461.6,333.6,0.000,0.557,45.625543,9.290514
3490.6,335.6,0.000,0.529,45.625372,9.290234
3519.6,336.8,0.000,0.502,45.625200,9.289953
3548.6,337.4,0.000,0.479,45.625029,9.289673
3577.5,337.5,0.000,0.465,45.624857,9.289393
3606.5,337.6,0.000,0.456,45.624685,9.289112
3635.5,337.6,0.021,0.362,45.624514,9.288832
3664.4,337.7,0.079,0.271,45.624342,9.288552
3693.4,335.5,0.172,0.181,45.624171,9.288271
3722.4,328.7,0.301,0.091,45.623999,9.287991
3751.4,317.2,0.463,0.000,45.623828,9.287710
3780.3,300.8,0.628,0.000,45.623656,9.287430
3809.3,279.5,0.770,0.000,45.623484,9.287150
3838.3,254.7,0.877,0.000,45.623313,9.286869
3867.2,226.1,0.938,0.000,45.623141,9.286589
3896.2,196.8,0.932,0.000,45.622970,9.286308
3925.2,171.4,0.855,0.000,45.622798,9.286028
3953.0,151.1,0.702,0.000,45.622576,9.285865
3982.0,137.3,0.502,0.103,45.622317,9.285903
4010.9,132.0,0.312,0.262,45.622057,9.285917
4039.8,133.8,0.157,0.462,45.621803,9.285838
4068.6,143.1,0.047,0.662,45.621573,9.285665
4097.5,160.2,0.000,0.862,45.621386,9.285407
4126.4,183.1,0.000,0.959,45.621223,9.285118
4154.9,209.5,0.000,1.000,45.620980,9.284998
4183.9,238.1,0.000,1.000,45.620722,9.284952
4212.9,264.2,0.000,1.000,45.620463,9.284906
4241.8,286.8,0.000,0.994,45.620205,9.284861
4270.8,305.5,0.000,0.951,45.619946,9.284815
4299.8,319.4,0.000,0.880,45.619687,9.284770
4328.8,328.5,0.000,0.781,45.619429,9.284724
4357.7,333.6,0.000,0.675,45.619170,9.284679
4386.7,335.1,0.000,0.575,45.618911,9.284641
4415.7,335.7,0.000,0.511,45.618652,9.284602
4444.6,336.2,0.000,0.476,45.618393,9.284563
4473.6,336.7,0.000,0.468,45.618134,9.284525
4502.6,337.2,0.000,0.466,45.617875,9.284486
4531.6,337.5,0.000,0.463,45.617615,9.284447
4560.5,337.8,0.001,0.569,45.617356,9.284409
4589.5,337.9,0.001,0.675,45.617097,9.284370
4618.5,337.8,0.001,0.782,45.616838,9.284331
4647.4,337.8,0.002,0.890,45.616579,9.284293
4676.4,337.8,0.002,0.999,45.616320,9.284254
4705.4,337.8,0.001,0.890,45.616061,9.284215
4734.3,337.8,0.000,0.780,45.615801,9.284177
4763.3,337.8,0.000,0.671,45.615542,9.284139
4792.3,337.8,0.000,0.671,45.615283,9.284100
4821.3,337.9,0.017,0.471,45.615024,9.284062
4850.2,337.9,0.062,0.380,45.614765,9.284024
4879.2,336.1,0.143,0.290,45.614506,9.283985
4908.2,331.0,0.260,0.200,45.614246,9.283947
4937.1,321.2,0.411,0.000,45.613987,9.283909
4966.1,306.4,0.577,0.000,45.613728,9.283871
4995.1,286.7,0.732,0.000,45.613469,9.283832
5024.1,262.4,0.851,0.000,45.613210,9.283794
5053.0,233.7,0.932,0.000,45.612951,9.283756
5082.0,204.2,0.939,0.000,45.612691,9.283717
5111.0,177.6,0.864,0.000,45.612432,9.283677
5139.7,156.9,0.718,0.000,45.612194,9.283535
5168.4,143.4,0.518,0.098,45.612006,9.283281
5197.3,137.1,0.320,0.251,45.611892,9.282948
5226.1,138.3,0.162,0.443,45.611861,9.282581
5254.9,146.7,0.054,0.643,45.611921,9.282220
5283.8,160.3,0.000,0.843,45.612031,9.281883
5312.8,176.6,0.000,0.944,45.612186,9.281585
5341.7,194.1,0.000,0.992,45.612377,9.281332
5370.6,212.0,0.000,1.000,45.612594,9.281126
5399.6,229.8,0.000,1.000,45.612829,9.280967
5428.5,247.0,0.000,0.997,45.613077,9.280852
5457.5,262.9,0.000,0.982,45.613331,9.280774
5486.4,277.3,0.000,0.949,45.613590,9.280732
5515.4,290.0,0.000,0.897,45.613850,9.280717
5544.4,300.4,0.000,0.828,45.614111,9.280714
5573.3,308.2,0.000,0.747,45.614371,9.280706
5602.3,313.7,0.000,0.668,45.614632,9.280699
5631.3,317.2,0.000,0.602,45.614892,9.280693
5660.2,319.4,0.000,0.555,45.615153,9.280691
5689.2,320.9,0.000,0.528,45.615413,9.280695
5718.2,322.4,0.000,0.520,45.615674,9.280707
5747.1,324.2,0.000,0.523,45.615933,9.280736
